locus_tag	type	contig	start	end	strand	length	product	score	inference	db_xref	gene	operon	note
BSUB_00074	CDS	NC_000964.3	80844	81695	+	851	Rotamase_2	77.8	protein motif:Pfam-A	Pfam:PF13145.13		OP_0014:5/9	
BSUB_00075	CDS	NC_000964.3	81771	82697	+	926	PALP	275.8	protein motif:Pfam-A	Pfam:PF00291.32		OP_0014:6/9	
BSUB_00076	CDS	NC_000964.3	82864	84276	+	1412	Chorismate_bind	312.5	protein motif:Pfam-A	Pfam:PF00425.25		OP_0014:7/9	
BSUB_00077	CDS	NC_000964.3	84299	84874	+	575	GATase	211.8	protein motif:Pfam-A	Pfam:PF00117.35		OP_0014:8/9	
BSUB_00078	CDS	NC_000964.3	84874	85755	+	881	Aminotran_4	186.7	protein motif:Pfam-A	Pfam:PF01063.25		OP_0014:9/9	
BSUB_00079	CDS	NC_000964.3	85737	86594	+	857	Pterin_bind	307.9	protein motif:Pfam-A	Pfam:PF00809.29			
BSUB_00080	CDS	NC_000964.3	86587	86949	+	362	FolB	140.4	protein motif:Pfam-A	Pfam:PF02152.24			
BSUB_00081	CDS	NC_000964.3	86946	87449	+	503	HPPK	144.7	protein motif:Pfam-A	Pfam:PF01288.26			
BSUB_00082	CDS	NC_000964.3	87401	87610	+	209	HTH_3	56.4	protein motif:Pfam-A	Pfam:PF01381.29		OP_0015:1/3	
BSUB_00083	CDS	NC_000964.3	87634	88635	+	1001	Dus	390.0	protein motif:Pfam-A	Pfam:PF01207.24		OP_0015:2/3	
BSUB_00084	CDS	NC_000964.3	88727	90226	+	1499	tRNA-synt_2	316.3	protein motif:Pfam-A	Pfam:PF00152.26		OP_0015:3/3	
BSUB_r0007	rRNA	NC_000964.3	90540	92086	+	1546	16S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_00085	CDS	NC_000964.3	91731	91985	+	254	hypothetical protein	6.3	ab initio prediction:Prodigal				
BSUB_r0008	rRNA	NC_000964.3	92256	95180	+	2924	23S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_r0009	rRNA	NC_000964.3	95239	95349	+	110	5S ribosomal RNA	0.0	COORDINATES:profile:Barrnap				
BSUB_t0008	tRNA	NC_000964.3	95375	95450	+	75	tRNA-Val		COORDINATES:profile:Aragorn				
BSUB_t0009	tRNA	NC_000964.3	95455	95530	+	75	tRNA-Thr		COORDINATES:profile:Aragorn				
BSUB_t0010	tRNA	NC_000964.3	95567	95642	+	75	tRNA-Lys		COORDINATES:profile:Aragorn				
BSUB_t0011	tRNA	NC_000964.3	95649	95731	+	82	tRNA-Leu		COORDINATES:profile:Aragorn				
BSUB_t0012	tRNA	NC_000964.3	95772	95846	+	74	tRNA-Gly		COORDINATES:profile:Aragorn				
BSUB_t0013	tRNA	NC_000964.3	95861	95946	+	85	tRNA-Leu		COORDINATES:profile:Aragorn				
BSUB_t0014	tRNA	NC_000964.3	95956	96032	+	76	tRNA-Arg		COORDINATES:profile:Aragorn				
BSUB_t0015	tRNA	NC_000964.3	96060	96136	+	76	tRNA-Pro		COORDINATES:profile:Aragorn				
BSUB_t0016	tRNA	NC_000964.3	96146	96221	+	75	tRNA-Ala		COORDINATES:profile:Aragorn				
BSUB_r0010	rRNA	NC_000964.3	96396	97942	+	1546	16S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_00086	CDS	NC_000964.3	97587	97841	+	254	hypothetical protein	6.3	ab initio prediction:Prodigal				
BSUB_r0011	rRNA	NC_000964.3	98112	101036	+	2924	23S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_r0012	rRNA	NC_000964.3	101095	101205	+	110	5S ribosomal RNA	0.0	COORDINATES:profile:Barrnap				
BSUB_00087	CDS	NC_000964.3	101449	101913	+	464	CtsR	126.0	protein motif:Pfam-A	Pfam:PF05848.18		OP_0016:1/3	
BSUB_00088	CDS	NC_000964.3	102137	102484	+	347	hypothetical protein	16.5	ab initio prediction:Prodigal			OP_0016:2/3	
BSUB_00089	CDS	NC_000964.3	102484	103575	+	1091	ATP-gua_Ptrans	260.3	protein motif:Pfam-A	Pfam:PF00217.25		OP_0016:3/3	
BSUB_00090	CDS	NC_000964.3	103572	106004	+	2432	AAA_2	255.9	protein motif:Pfam-A	Pfam:PF07724.21		OP_0017:1/5	
BSUB_00091	CDS	NC_000964.3	106039	107472	+	1433	AAA_25	61.3	protein motif:Pfam-A	Pfam:PF13481.13		OP_0017:2/5	
BSUB_00092	CDS	NC_000964.3	107476	108558	+	1082	DisA-linker	172.6	protein motif:Pfam-A	Pfam:PF10635.15		OP_0017:3/5	
BSUB_00093	CDS	NC_000964.3	108674	109774	+	1100	YCF81_N	125.6	protein motif:Pfam-A	Pfam:PF27675.1		OP_0017:4/5	signal_peptide:1..18;score=2.12;h_max=2.77
	signal_peptide	NC_000964.3	108674	108727	+	53	signal peptide (BSUB_00093)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00093;cleavage_site=18
BSUB_00094	CDS	NC_000964.3	109789	110487	+	698	IspD	320.4	protein motif:Pfam-A	Pfam:PF01128.26		OP_0017:5/5	
BSUB_00095	CDS	NC_000964.3	110480	110956	+	476	YgbB	237.1	protein motif:Pfam-A	Pfam:PF02542.22		OP_0018:1/2	
BSUB_00096	CDS	NC_000964.3	111047	112498	+	1451	tRNA-synt_1c	435.6	protein motif:Pfam-A	Pfam:PF00749.28		OP_0018:2/2	
BSUB_00097	CDS	NC_000964.3	112800	113453	+	653	Hexapep	44.4	protein motif:Pfam-A	Pfam:PF00132.31			
BSUB_00098	CDS	NC_000964.3	113450	114850	+	1400	tRNA-synt_1e	488.0	protein motif:Pfam-A	Pfam:PF01406.26		OP_0019:1/2	
BSUB_00099	CDS	NC_000964.3	114854	115285	+	431	Ribonuclease_3	95.8	protein motif:Pfam-A	Pfam:PF00636.32		OP_0019:2/2	
BSUB_00100	CDS	NC_000964.3	115269	116018	+	749	SpoU_methylase	149.4	protein motif:Pfam-A	Pfam:PF00588.25		OP_0020:1/27	
BSUB_00101	CDS	NC_000964.3	116025	116537	+	512	NYN_YacP	204.4	protein motif:Pfam-A	Pfam:PF05991.18		OP_0020:2/27	
BSUB_00102	CDS	NC_000964.3	116600	117256	+	656	Sigma70_r2	56.5	protein motif:Pfam-A	Pfam:PF04542.21		OP_0020:3/27	
BSUB_00103	CDS	NC_000964.3	117532	117711	+	179	SecE	73.9	protein motif:Pfam-A	Pfam:PF00584.26		OP_0020:4/27	
BSUB_00104	CDS	NC_000964.3	117854	118423	+	569	NusG	106.3	protein motif:Pfam-A	Pfam:PF02357.25		OP_0020:5/27	
BSUB_00105	CDS	NC_000964.3	118591	119016	+	425	Ribosomal_L11	109.2	protein motif:Pfam-A	Pfam:PF00298.25;Pfam:PF03946.20		OP_0020:6/27	
BSUB_00106	CDS	NC_000964.3	119111	119809	+	698	Ribosomal_L1	243.5	protein motif:Pfam-A	Pfam:PF00687.27		OP_0020:7/27	
BSUB_00107	CDS	NC_000964.3	120061	120561	+	500	Ribosomal_L10	113.1	protein motif:Pfam-A	Pfam:PF00466.26		OP_0020:8/27	
BSUB_00108	CDS	NC_000964.3	120607	120978	+	371	Ribosomal_L12	106.5	protein motif:Pfam-A	Pfam:PF00542.25		OP_0020:9/27	
BSUB_00109	CDS	NC_000964.3	121068	121673	+	605	MTS	171.1	protein motif:Pfam-A	Pfam:PF05175.21		OP_0020:10/27	
BSUB_00110	CDS	NC_000964.3	121919	125500	+	3581	RNA_pol_Rpb2_6	456.4	protein motif:Pfam-A	Pfam:PF00562.34		OP_0020:11/27	
BSUB_00111	CDS	NC_000964.3	125562	129161	+	3599	RNA_pol_Rpb1_1	292.2	protein motif:Pfam-A	Pfam:PF04997.18		OP_0020:12/27	
BSUB_00112	CDS	NC_000964.3	129340	129588	+	248	Ribosomal_L7Ae	59.0	protein motif:Pfam-A	Pfam:PF01248.32		OP_0020:13/27	
BSUB_00113	CDS	NC_000964.3	129702	130118	+	416	Ribosom_S12_S23	127.1	protein motif:Pfam-A	Pfam:PF00164.32		OP_0020:14/27	
BSUB_00114	CDS	NC_000964.3	130160	130630	+	470	Ribosomal_S7	227.4	protein motif:Pfam-A	Pfam:PF00177.28		OP_0020:15/27	
BSUB_00115	CDS	NC_000964.3	130684	132762	+	2078	GTP_EFTU	226.5	protein motif:Pfam-A	Pfam:PF00009.34		OP_0020:16/27	
BSUB_00116	CDS	NC_000964.3	132882	134072	+	1190	GTP_EFTU	226.2	protein motif:Pfam-A	Pfam:PF00009.34		OP_0020:17/27	
BSUB_00117	CDS	NC_000964.3	134171	135127	+	956	Abhydrolase_1	64.7	protein motif:Pfam-A	Pfam:PF00561.27;Pfam:PF12146.16		OP_0020:18/27	
BSUB_00118	CDS	NC_000964.3	135364	135672	+	308	Ribosomal_S10	133.9	protein motif:Pfam-A	Pfam:PF00338.28		OP_0020:19/27	
BSUB_00119	CDS	NC_000964.3	135712	136341	+	629	Ribosomal_L3	68.5	protein motif:Pfam-A	Pfam:PF00297.29		OP_0020:20/27	
BSUB_00120	CDS	NC_000964.3	136369	136992	+	623	Ribosomal_L4	266.9	protein motif:Pfam-A	Pfam:PF00573.28		OP_0020:21/27	
BSUB_00121	CDS	NC_000964.3	136992	137279	+	287	Ribosomal_L23	112.3	protein motif:Pfam-A	Pfam:PF00276.26		OP_0020:22/27	
BSUB_00122	CDS	NC_000964.3	137311	138144	+	833	Ribosomal_L2_C	193.4	protein motif:Pfam-A	Pfam:PF03947.25		OP_0020:23/27	
BSUB_00123	CDS	NC_000964.3	138202	138480	+	278	Ribosomal_S19	130.2	protein motif:Pfam-A	Pfam:PF00203.27		OP_0020:24/27	
BSUB_00124	CDS	NC_000964.3	138497	138838	+	341	Ribosomal_L22	141.7	protein motif:Pfam-A	Pfam:PF00237.25		OP_0020:25/27	
BSUB_00125	CDS	NC_000964.3	138842	139498	+	656	Ribosomal_S3_C	130.0	protein motif:Pfam-A	Pfam:PF00189.26		OP_0020:26/27	
BSUB_00126	CDS	NC_000964.3	139500	139934	+	434	Ribosomal_L16	194.0	protein motif:Pfam-A	Pfam:PF00252.25		OP_0020:27/27	
BSUB_00127	CDS	NC_000964.3	139924	140124	+	200	Ribosomal_L29	94.6	protein motif:Pfam-A	Pfam:PF00831.29		OP_0021:1/14	
BSUB_00128	CDS	NC_000964.3	140147	140410	+	263	Ribosomal_S17	112.5	protein motif:Pfam-A	Pfam:PF00366.27		OP_0021:2/14	
BSUB_00129	CDS	NC_000964.3	140451	140819	+	368	Ribosomal_L14	184.4	protein motif:Pfam-A	Pfam:PF00238.25		OP_0021:3/14	
BSUB_00130	CDS	NC_000964.3	140857	141168	+	311	ribosomal_L24	109.7	protein motif:Pfam-A	Pfam:PF17136.11		OP_0021:4/14	
BSUB_00131	CDS	NC_000964.3	141195	141734	+	539	Ribosomal_L5_C	148.0	protein motif:Pfam-A	Pfam:PF00673.27		OP_0021:5/14	
BSUB_00132	CDS	NC_000964.3	141757	141942	+	185	Ribosomal_S14	90.1	protein motif:Pfam-A	Pfam:PF00253.28		OP_0021:6/14	
BSUB_00133	CDS	NC_000964.3	141974	142372	+	398	Ribosomal_S8	182.3	protein motif:Pfam-A	Pfam:PF00410.25		OP_0021:7/14	
BSUB_00134	CDS	NC_000964.3	142402	142941	+	539	Ribosomal_L6	161.6	protein motif:Pfam-A	Pfam:PF00347.29		OP_0021:8/14	
BSUB_00135	CDS	NC_000964.3	142974	143336	+	362	Ribosomal_L18p	182.9	protein motif:Pfam-A	Pfam:PF00861.28		OP_0021:9/14	
BSUB_00136	CDS	NC_000964.3	143355	143861	+	506	Ribosomal_S5	110.6	protein motif:Pfam-A	Pfam:PF00333.27		OP_0021:10/14	
BSUB_00137	CDS	NC_000964.3	143875	144054	+	179	Ribosomal_L30	83.8	protein motif:Pfam-A	Pfam:PF00327.26		OP_0021:11/14	
BSUB_00138	CDS	NC_000964.3	144085	144525	+	440	Ribosomal_L27A	73.8	protein motif:Pfam-A	Pfam:PF00828.26		OP_0021:12/14	
BSUB_00139	CDS	NC_000964.3	144527	145822	+	1295	SecY	371.2	protein motif:Pfam-A	Pfam:PF00344.26		OP_0021:13/14	
BSUB_00140	CDS	NC_000964.3	145877	146530	+	653	ADK	211.4	protein motif:Pfam-A	Pfam:PF00406.30		OP_0021:14/14	
BSUB_00141	CDS	NC_000964.3	146527	147273	+	746	Peptidase_M24	194.3	protein motif:Pfam-A	Pfam:PF00557.30			
BSUB_00142	CDS	NC_000964.3	147585	147803	+	218	eIF-1a	101.3	protein motif:Pfam-A	Pfam:PF01176.26		OP_0022:1/7	
BSUB_00143	CDS	NC_000964.3	147837	147950	+	113	Ribosomal_L36	72.7	protein motif:Pfam-A	Pfam:PF00444.24		OP_0022:2/7	
BSUB_00144	CDS	NC_000964.3	147973	148338	+	365	Ribosomal_S13	124.6	protein motif:Pfam-A	Pfam:PF00416.28		OP_0022:3/7	
BSUB_00145	CDS	NC_000964.3	148359	148754	+	395	Ribosomal_S11	175.8	protein motif:Pfam-A	Pfam:PF00411.25		OP_0022:4/7	
